Trade ID,Start Time,End Time,Volume,Price,Cost,SO Flag
ES00000001,2015-04-02T05:00:00Z,2015-04-02T06:00:00Z,250,42.91,10727.5,F
ES00000002,2015-04-02T18:00:00Z,2015-04-02T19:00:00Z,300,53.42,16026,F
ES00000003,2015-04-02T19:00:00Z,2015-04-02T20:00:00Z,300,59.18,17754,F
ES00000004,2015-04-05T22:00:00Z,2015-04-06T07:00:00Z,-360,13.2,-4752,T
ES00000005,2015-04-04T22:00:00Z,2015-04-05T07:00:00Z,-360,13.2,-4752,T
ES00000006,2015-04-05T22:00:00Z,2015-04-06T07:00:00Z,-720,13.2,-9504,T
ES00000007,2015-04-04T11:00:00Z,2015-04-04T12:00:00Z,150,48,7200,F
ES00000008,2015-04-04T12:00:00Z,2015-04-04T13:00:00Z,150,42.05,6307.5,F
ES00000009,2015-04-04T13:00:00Z,2015-04-04T14:00:00Z,150,41.91,6286.5,F
ES00000010,2015-04-03T22:30:00Z,2015-04-03T23:00:00Z,-240,14.5,-3480,T
ES00000011,2015-04-03T22:30:00Z,2015-04-03T23:00:00Z,-120,14.5,-1740,T
ES00000012,2015-04-04T23:00:00Z,2015-04-05T07:00:00Z,-960,16.01,-15369.6,T
ES00000013,2015-04-08T22:30:00Z,2015-04-08T23:00:00Z,300,41.5,12450,F
ES00000014,2015-04-08T22:30:00Z,2015-04-08T23:00:00Z,300,41.5,12450,F
ES00000015,2015-04-08T15:30:00Z,2015-04-08T16:00:00Z,-20,39.5,-790,F
ES00000016,2015-04-08T15:30:00Z,2015-04-08T16:00:00Z,-17.5,39.75,-695.625,F
ES00000017,2015-04-08T15:30:00Z,2015-04-08T16:00:00Z,-5,39.75,-198.75,F
ES00000018,2015-04-08T16:00:00Z,2015-04-08T16:30:00Z,-25,38.5,-962.5,F
ES00000019,2015-04-08T16:30:00Z,2015-04-08T17:00:00Z,-3,40.5,-121.5,F
ES00000020,2015-04-08T16:30:00Z,2015-04-08T17:00:00Z,-7,40.5,-283.5,F
ES00000021,2015-04-09T12:00:00Z,2015-04-09T12:30:00Z,-25,37,-925,F
ES00000022,2015-04-09T12:30:00Z,2015-04-09T13:00:00Z,-25,37,-925,F
ES00000023,2015-04-09T12:30:00Z,2015-04-09T13:00:00Z,-6,37,-222,F
ES00000024,2015-04-09T12:30:00Z,2015-04-09T13:00:00Z,-19,37,-703,F
ES00000025,2015-04-09T13:30:00Z,2015-04-09T14:00:00Z,-25,37.76,-944,F
ES00000026,2015-04-09T13:30:00Z,2015-04-09T14:00:00Z,-19,38,-722,F
ES00000027,2015-04-09T13:30:00Z,2015-04-09T14:00:00Z,-6,37.77,-226.62,F
ES00000028,2015-04-09T13:00:00Z,2015-04-09T13:30:00Z,-25,37.65,-941.25,F
ES00000029,2015-04-09T13:30:00Z,2015-04-09T14:00:00Z,-6,37.8,-226.8,F
ES00000030,2015-04-09T13:30:00Z,2015-04-09T14:00:00Z,-25,37.85,-946.25,F
ES00000031,2015-04-10T22:00:00Z,2015-04-11T05:00:00Z,1533,78,119574,T
ES00000032,2015-04-11T22:00:00Z,2015-04-12T05:00:00Z,1533,78,119574,T
ES00000033,2015-04-12T22:00:00Z,2015-04-13T06:30:00Z,-2550,30,-76500,T
ES00000034,2015-04-10T22:30:00Z,2015-04-10T23:00:00Z,-8000,30,-240000,T
ES00000035,2015-04-10T22:00:00Z,2015-04-11T05:00:00Z,1960,75,147000,T
ES00000036,2015-04-12T12:00:00Z,2015-04-12T22:00:00Z,2800,62,173600,T
ES00000037,2015-04-12T22:00:00Z,2015-04-13T05:00:00Z,1960,75,147000,T
ES00000038,2015-04-12T22:30:00Z,2015-04-12T23:00:00Z,-2400,27.81,-66744,T
ES00000039,2015-04-13T22:00:00Z,2015-04-14T05:00:00Z,-700,23.83,-16681,T
ES00000040,2015-04-13T22:00:00Z,2015-04-14T05:00:00Z,-1050,24.2,-25410,T
ES00000041,2015-04-14T05:00:00Z,2015-04-14T06:00:00Z,-250,24.2,-6050,T
ES00000042,2015-04-14T22:00:00Z,2015-04-15T04:00:00Z,-750,22.93,-17197.5,T
ES00000043,2015-04-14T22:30:00Z,2015-04-14T23:00:00Z,-150,30.69,-4603.5,T
ES00000044,2015-04-14T22:00:00Z,2015-04-15T05:00:00Z,1533,72.25,110759.25,T
ES00000045,2015-04-14T15:30:00Z,2015-04-14T16:00:00Z,-37.5,45.1,-1691.25,F
ES00000046,2015-04-14T16:00:00Z,2015-04-14T16:30:00Z,-16,48,-768,F
ES00000047,2015-04-14T16:00:00Z,2015-04-14T16:30:00Z,-14,49,-686,F
ES00000048,2015-04-14T22:00:00Z,2015-04-15T05:00:00Z,-525,20.5,-10762.5,T
