End Time_D&T,Volume,Cost,Price,Trade Hours Duration
2019-01-01,-2400.0,-16982.0,6.56875,1.0
2019-01-02,2200.0,134330.0,60.906666666666666,1.6666666666666667
2019-01-03,0.0,0.0,,
2019-01-04,1200.0,88917.91,80.20222222222223,1.0
2019-01-05,844.0,55459.0,65.824,1.0
2019-01-06,0.0,0.0,,
2019-01-07,15200.0,1042480.5,68.421875,4.4375
2019-01-08,847.0,58053.380000000005,67.7675,1.0
2019-01-09,0.0,0.0,,
2019-01-10,1531.0,126114.62,82.76,1.3
2019-01-11,1000.0,62659.0,62.6475,1.25
2019-01-12,0.0,0.0,,
2019-01-13,2000.0,117960.0,58.98,4.0
2019-01-14,1000.0,67548.0,67.81,2.0
2019-01-15,3509.0,231804.41,65.71470588235294,1.2352941176470589
2019-01-16,1000.0,68313.5,68.38333333333334,1.0
2019-01-17,3700.0,239091.89,64.17736842105263,1.0
2019-01-18,5199.0,355202.02,68.19394736842105,1.0
2019-01-19,2421.0,149092.24,61.81909090909091,1.0
2019-01-20,0.0,0.0,,
2019-01-21,16425.0,1275463.26,79.50628571428571,1.0
2019-01-22,6242.5,453295.125,76.71296296296296,1.5185185185185186
2019-01-23,3202.0,390517.65,130.94565217391303,1.0
2019-01-24,13030.0,1593607.49,125.95846153846153,1.4307692307692308
2019-01-25,14200.0,1077288.69,76.455,1.0
2019-01-26,0.0,0.0,,
2019-01-27,0.0,0.0,,
2019-01-28,0.0,0.0,,
2019-01-29,1000.0,65888.0,66.185,1.0
2019-01-30,1000.0,61472.0,61.564,1.0
2019-01-31,1644.0,116095.78,72.77,1.0
2019-02-01,750.0,66983.34,89.01083333333332,1.0
2019-02-02,0.0,0.0,,
2019-02-03,0.0,0.0,,
2019-02-04,4050.0,233323.36,57.557307692307695,1.0
2019-02-05,7998.0,488057.67,61.166428571428575,1.0
2019-02-06,500.0,25668.0,51.35999999999999,1.0
2019-02-07,0.0,0.0,,
2019-02-08,0.0,0.0,,
2019-02-09,0.0,0.0,,
2019-02-10,0.0,0.0,,
2019-02-11,278.0,30210.6,108.545,1.0
2019-02-12,1000.0,65903.54000000001,68.60499999999999,1.0
2019-02-13,399.8,21067.65,52.7475,1.0
2019-02-14,1198.0,81894.8,62.455555555555556,1.0
2019-02-15,1198.5,78748.06,67.02555555555556,1.0
2019-02-16,205.0,14648.55,71.655,1.0
2019-02-17,0.0,0.0,,
2019-02-18,1250.0,65960.49,52.3890909090909,1.0
2019-02-19,0.0,0.0,,
2019-02-20,2167.0,122693.24,56.31125,1.0
2019-02-21,0.0,0.0,,
2019-02-22,500.0,27900.0,55.8,1.0
2019-02-23,0.0,0.0,,
2019-02-24,0.0,0.0,,
2019-02-25,500.0,23457.0,46.778,1.0
2019-02-26,0.0,0.0,,
2019-02-27,-550.0,-18207.92,32.942,1.0
2019-02-28,0.0,0.0,,
2019-03-01,0.0,0.0,,
2019-03-02,0.0,0.0,,
2019-03-03,-6944.0,-70356.26,14.058620689655172,1.2413793103448276
2019-03-04,-5850.0,69594.0,-9.409799999999999,1.0
2019-03-05,0.0,0.0,,
2019-03-06,0.0,0.0,,
2019-03-07,0.0,0.0,,
2019-03-08,0.0,0.0,,
2019-03-09,0.0,0.0,,
2019-03-10,0.0,0.0,,
2019-03-11,-1200.0,-31331.5,25.597368421052632,1.0
2019-03-12,0.0,0.0,,
2019-03-13,0.0,0.0,,
2019-03-14,0.0,0.0,,
2019-03-15,0.0,0.0,,
2019-03-16,0.0,0.0,,
2019-03-17,0.0,0.0,,
2019-03-18,0.0,0.0,,
2019-03-19,0.0,0.0,,
2019-03-20,1140.0,70306.83,58.483999999999995,1.0
2019-03-21,0.0,0.0,,
2019-03-22,1720.0,78165.82,47.45125,1.0
2019-03-23,0.0,0.0,,
2019-03-24,0.0,0.0,,
2019-03-25,0.0,0.0,,
2019-03-26,0.0,0.0,,
2019-03-27,0.0,0.0,,
2019-03-28,0.0,6505.0,34.47222222222222,1.0
2019-03-29,0.0,0.0,,
2019-03-30,0.0,0.0,,
2019-03-31,0.0,0.0,,
2019-04-01,-100.0,-2550.0,25.5,1.0
2019-04-02,-500.0,-11850.0,23.7,1.0
2019-04-03,480.0,26822.43,54.660000000000004,1.0
2019-04-04,1600.0,80812.75,43.41230769230769,1.0
2019-04-05,5650.0,297390.56,52.332564102564106,1.0
2019-04-06,0.0,0.0,,
2019-04-07,0.0,0.0,,
2019-04-08,1900.0,108435.0,57.07899999999999,1.0
2019-04-09,700.0,36872.0,52.727999999999994,1.0
2019-04-10,-150.0,-5466.0,35.31,1.0
2019-04-11,-600.0,-19126.5,31.877499999999998,1.0
2019-04-12,-700.0,-10972.78,34.221666666666664,1.0
2019-04-13,0.0,0.0,,
2019-04-14,598.0,31748.059999999998,54.745,1.0
2019-04-15,500.0,28842.0,57.99,1.0
2019-04-16,699.0,35594.82,50.429,1.0
2019-04-17,1200.0,56125.0,46.67818181818182,1.0
2019-04-18,980.0,51468.37,52.7475,1.0
2019-04-19,-3476.0,-74508.15,20.898400000000002,1.0
2019-04-20,0.0,0.0,,
2019-04-21,-1800.0,-26414.5,15.221,1.0
2019-04-22,-4400.0,3251.75,-0.9381132075471698,1.0
2019-04-23,-3952.0,-50287.840000000004,11.837037037037037,1.0
2019-04-24,-2000.0,-43241.35,21.2445,1.0
2019-04-25,-100.0,-3026.5,30.265,1.0
2019-04-26,-130.0,19639.42,37.272608695652174,1.0
2019-04-27,-4750.0,-73201.95,15.851756756756757,1.0
2019-04-28,-8000.0,-172895.89,21.62027777777778,1.0
2019-04-29,328.0,21402.76,64.08857142857143,1.0
2019-04-30,1500.0,79115.95,52.86208333333334,1.0
2019-05-01,0.0,0.0,,
2019-05-02,240.0,10678.2,44.586666666666666,1.0
2019-05-03,0.0,0.0,,
2019-05-04,-13391.0,-272387.18,21.15233644859813,1.0
2019-05-05,-800.0,-13185.45,16.425,1.0
2019-05-06,1181.0,69241.09,46.011875,1.0
2019-05-07,5664.0,373278.4,61.472500000000004,1.0
2019-05-08,1095.0,90093.48,48.2403125,1.0
2019-05-09,1100.0,56993.05,52.43625,1.0
2019-05-10,800.0,39216.0,49.35666666666666,1.0
2019-05-11,-1000.0,-16279.1,16.315454545454546,1.0
2019-05-12,0.0,0.0,,
2019-05-13,1000.0,51073.5,51.555,1.0
2019-05-14,800.0,36704.0,45.879999999999995,1.0
2019-05-15,2000.0,88298.0,44.11333333333333,1.0
2019-05-16,1600.0,68172.0,42.6075,1.0
2019-05-17,400.0,16618.5,41.3775,1.0
2019-05-18,0.0,0.0,,
2019-05-19,0.0,0.0,,
2019-05-20,3949.0,217967.8,56.81,1.0
2019-05-21,2000.0,98883.3,50.35875,1.0
2019-05-22,0.0,0.0,,
2019-05-23,1198.0,51812.99,43.34833333333333,1.0
2019-05-24,800.0,52809.0,37.306666666666665,1.0
2019-05-25,0.0,0.0,,
2019-05-26,-10500.0,-56705.5,6.006909090909091,1.0
2019-05-27,-6900.0,-73657.93,9.629056603773584,1.0
2019-05-28,0.0,0.0,,
2019-05-29,1199.0,57909.14,48.92733333333333,1.0
2019-05-30,-6150.0,-34241.2,5.972799999999999,1.0
2019-05-31,-1500.0,-33050.3,21.673571428571428,1.0
2019-06-01,-5650.0,31841.45,-4.461764705882352,1.0
2019-06-02,-9300.0,146802.5,-10.647083333333335,1.0
2019-06-03,1698.0,83102.62,50.94652173913043,1.0
2019-06-04,0.0,0.0,,
2019-06-05,-4300.0,-64221.48,14.774666666666667,1.0
2019-06-06,0.0,0.0,,
2019-06-07,500.0,43175.05,85.37,1.0
2019-06-08,-7000.0,214540.3,-35.67909090909091,1.0
2019-06-09,-6100.0,-59300.19,10.37298245614035,1.0
2019-06-10,0.0,0.0,,
2019-06-11,4280.0,247798.5,57.4306,1.0
2019-06-12,-2110.0,-2358.1000000000004,31.982758620689655,1.0
2019-06-13,-5662.0,230408.48,14.060350877192983,1.0
2019-06-14,4871.0,272911.81,56.48560975609756,1.0
2019-06-15,-800.0,-17923.9,22.39375,1.0
2019-06-16,-8480.0,-69474.8,10.27,1.0
2019-06-17,-1267.0,92746.6,17.15340425531915,1.0
2019-06-18,300.0,19847.5,39.35333333333333,1.0
2019-06-19,344.0,27937.91,81.80250000000001,1.0
2019-06-20,0.0,0.0,,
2019-06-21,0.0,0.0,,
2019-06-22,0.0,0.0,,
2019-06-23,-600.0,-12247.96,18.680909090909093,1.0
2019-06-24,-3300.0,-60768.65,18.917272727272728,1.0
2019-06-25,0.0,0.0,,
2019-06-26,1048.0,106996.0,105.785,1.0
2019-06-27,150.0,25115.98,29.86583333333333,1.0
2019-06-28,1840.0,108186.9,61.31647058823529,1.0
2019-06-29,-4992.0,-88931.97,17.46972972972973,1.0
2019-06-30,-20200.0,-78662.9,3.7203472222222222,1.0
2019-07-01,-1999.0,24918.38,20.837200000000003,1.0
2019-07-02,0.0,0.0,,
2019-07-03,0.0,0.0,,
2019-07-04,800.0,42189.03,51.434000000000005,1.0
2019-07-05,0.0,0.0,,
2019-07-06,-1600.0,-37361.5,23.234117647058824,1.0
2019-07-07,0.0,0.0,,
2019-07-08,0.0,0.0,,
2019-07-09,0.0,0.0,,
2019-07-10,1500.0,75638.69,50.171052631578945,1.0
2019-07-11,8428.0,458780.68,53.14961904761905,1.0
2019-07-12,1100.0,75630.81,69.755,1.0
2019-07-13,-600.0,-15200.0,25.0,1.5
2019-07-14,-660.0,-14050.3,22.375,1.0
2019-07-15,500.0,25770.5,51.122,1.0
2019-07-16,0.0,0.0,,
2019-07-17,3028.0,151722.07,43.03176470588235,1.0
2019-07-18,2000.0,87941.8,43.96785714285714,1.0
2019-07-19,750.0,39345.2,52.68625,1.0
2019-07-20,-6600.0,-161485.65,24.151666666666667,1.0
2019-07-21,-5725.0,-139636.5,23.2045,1.0
2019-07-22,-4070.0,139992.26,33.056355140186916,1.0
2019-07-23,1129.0,68240.27,60.07066666666666,1.0
2019-07-24,6438.0,490765.68,78.17420289855073,1.0
2019-07-25,2100.0,173583.54,83.61714285714285,1.0
2019-07-26,500.0,24250.9,48.763999999999996,1.0
2019-07-27,945.0,52447.5,55.5,3.0
2019-07-28,-3250.0,-62076.5,18.829818181818183,1.0
2019-07-29,-1600.0,-34763.3,21.438333333333333,1.0
2019-07-30,150.0,8221.5,55.10999999999999,1.0
2019-07-31,-2900.0,-42915.5,14.8035,1.0
2019-08-01,800.0,52616.52,66.43071428571429,1.0
2019-08-02,350.0,16715.0,47.6475,1.0
2019-08-03,0.0,0.0,,
2019-08-04,-1400.0,-34824.0,24.90888888888889,1.0
2019-08-05,0.0,0.0,,
2019-08-06,197.0,24402.65,40.603529411764704,1.0
2019-08-07,-3491.0,-76097.18,21.950444444444443,1.0
2019-08-08,-4000.0,-91550.5,22.332666666666668,1.0
2019-08-09,-9340.0,-146146.17,15.422363636363636,1.0
2019-08-10,-9548.0,-91272.12,8.953818181818182,1.0
2019-08-11,-27068.0,288497.55,-1.0991346153846153,1.0
2019-08-12,-4456.0,30743.96,32.20027777777778,1.0
2019-08-13,1461.0,84709.28,57.75047619047619,1.0
2019-08-14,1000.0,63077.850000000006,63.3575,1.0
2019-08-15,-4900.0,-65704.5,13.491818181818182,1.0
2019-08-16,-7430.0,-101960.61,24.530724637681157,1.0
2019-08-17,-31910.0,-399048.33,12.929677419354839,1.0
